carat,clarity,color,cut,xdimension,ydimension,zdimension,depth,table,price
0.5, IF, D, IDEAL,5.1,5.15,3.2,61.5,57.23,3000.0
0.7, VVS2, E, PREMIUM,5.7,5.684499999999999,3.52,62.0,59.0,4500.0
0.3105000000000004, SI2, H, GOOD,4.3,4.31,2.6891999999999996,62.3,56.0,700.0
1.2, IF, D, IDEAL,6.7999999999999945,6.82,4.2,61.7,58.0,10000.0
0.9, I1, J, FAIR,6.0,6.0154999999999905,3.7,61.7,54.84,2400.0
0.7425000000000003, SI1, G, VERY GOOD,5.9,5.92,3.63,62.565999999999995,57.0,4200.0
0.5, IF, D, IDEAL,5.1,5.156799999999995,3.2,61.5,57.0,3100.0
0.4, VVS1, F, GOOD,4.8,4.79,2.95,61.90500000000003,56.19,1500.0
0.32300000000000045, SI2, I, GOOD,4.3,4.32,2.7079999999999997,62.3,55.92,1081.0
1.0, VVS1, F, IDEAL,6.4,6.460299999999998,4.0,62.352999999999966,58.0,7500.0
0.5, SI1, COLORLESS, PREMIUM,5.198999999999993,5.21,3.21,61.6,58.0,3065.0
0.4, VVS2, G, VERY GOOD,4.9,4.88,2.9988999999999977,61.2,56.0,1400.0
0.716500000000001, SI2, J, FAIR,5.7,5.71,3.54,62.12700000000001,54.0,2000.0
1.1, VVS1, E, PREMIUM,6.6,6.592900000000002,4.08,62.442999999999984,57.0,9200.0
0.55, SI2, H, GOOD,5.3,5.29,3.2905,62.0,54.51,1800.0
0.3260000000000005, VVS2, I, GOOD,4.4,4.39,2.69,61.3,57.0,1451.0
0.5, SI1, G, VERY GOOD,5.2,5.186400000000003,3.2,62.203000000000046,56.0,2300.0
1.0, IF, D, IDEAL,6.5,6.49,4.018800000000002,61.7,58.0,15523.0
0.6, SI2, H, GOOD,5.5,5.52,3.414500000000002,62.26599999999998,57.0,2200.0
0.7, I1, J, FAIR,5.785000000000002,5.79,3.57,61.6,55.02,2100.0
0.8684999999999993, VVS1, F, IDEAL,6.1,6.15,3.9,61.8,57.0,6000.0
1.3, SI1, G, PREMIUM,6.9,6.918399999999996,4.3,63.0,60.0,10500.0
1.4, IF, D, GOOD,7.1,7.12,4.403499999999991,62.4,59.0,11000.0
0.34600000000000053, VVS2, E, GOOD,4.6,4.58,2.85,62.04599999999998,56.0,800.0
1.6, I1, I, FAIR,7.3,7.28,4.5,62.64600000000002,54.0,3400.0
0.2, SI1, H, VERY GOOD,3.9,3.89,2.41,62.1,55.51,500.0
0.35, IF, G, IDEAL,4.5,4.52,2.7830999999999992,61.9,56.0,1300.0
0.35000000000000064, VVS2, G, GOOD,4.6,4.554899999999996,2.83,62.2,57.0,1600.0
0.55, I1, J, PREMIUM,5.4,5.42,3.35,62.1,56.63,2500.0
1.1009999999999998, VVS1, D, IDEAL,6.7,6.71,4.15,62.425999999999995,58.0,7700.0
0.65, SI2, COLORLESS, VERY GOOD,5.6,5.572799999999998,3.47,62.3,58.0,2900.0
1.5, VVS2, F, GOOD,7.2,7.18,4.460099999999994,62.7,59.0,10800.0
0.9, SI2, H, FAIR,6.1,6.12,3.78,62.4,54.96,2600.0
1.1470000000000016, VVS1, E, PREMIUM,6.9,6.875399999999998,4.27,62.2,57.0,9300.0
0.45, SI2, I, GOOD,4.9,4.91,3.0125999999999973,62.1,56.0,1700.0
