carat,clarity,color,cut,xdimension,ydimension,zdimension,depth,table,price
0.7, VVS2, E, PREMIUM,5.7,5.829705882352942,3.52,62.0,59.0,4500.0
0.7989999999999999, SI1, G, VERY GOOD,5.9,5.92,3.63,62.31654135338345,57.0,4200.0
0.4, VVS1, F, GOOD,4.8,4.79,2.95,62.31654135338345,56.91017964071856,1500.0
1.0, VVS1, F, IDEAL,6.4,5.829705882352942,4.0,62.31654135338345,58.0,7500.0
0.7989999999999999, SI2, J, FAIR,5.7,5.71,3.54,62.31654135338345,54.0,2000.0
1.1, VVS1, E, PREMIUM,6.6,5.829705882352942,4.08,62.31654135338345,57.0,9200.0
0.55, SI2, H, GOOD,5.3,5.29,3.6946710526315782,62.0,56.91017964071856,1800.0
0.5, SI1, G, VERY GOOD,5.2,5.829705882352942,3.2,62.31654135338345,56.0,2300.0
0.6, SI2, H, GOOD,5.5,5.52,3.6946710526315782,62.31654135338345,57.0,2200.0
0.7989999999999999, VVS2, G, GOOD,4.6,5.829705882352942,2.83,62.2,57.0,1600.0
0.55, I1, J, PREMIUM,5.4,5.42,3.35,62.1,56.91017964071856,2500.0
0.7989999999999999, VVS1, D, IDEAL,6.7,6.71,4.15,62.31654135338345,58.0,7700.0
0.65, SI2, COLORLESS, VERY GOOD,5.6,5.829705882352942,3.47,62.3,58.0,2900.0
0.9, SI2, H, FAIR,6.1,6.12,3.78,62.4,56.91017964071856,2600.0
0.7989999999999999, VVS1, E, PREMIUM,6.9,5.829705882352942,4.27,62.2,57.0,9300.0
0.45, SI2, I, GOOD,4.9,4.91,3.6946710526315782,62.1,56.0,1700.0
0.6, VVS2, G, GOOD,5.5,5.49,3.6946710526315782,62.31654135338345,58.0,2800.0
0.7989999999999999, SI1, F, VERY GOOD,5.3,5.31,3.3,62.0,57.0,2700.0
0.95, IF, D, IDEAL,6.3,5.829705882352942,3.9,62.6,58.0,9400.0
1.05, SI2, J, GOOD,6.6,6.58,3.6946710526315782,62.7,56.91017964071856,8500.0
0.45, SI2, H, IDEAL,4.8,4.82,3.01,62.1,56.0,1500.0
0.85, VVS1, I, GOOD,5.8,5.82,3.6946710526315782,62.2,55.0,4800.0
0.95, VVS2, D, GOOD,6.3,6.31,3.91,62.4,56.91017964071856,7300.0
0.7989999999999999, SI1, E, FAIR,6.0,6.01,3.6946710526315782,62.31654135338345,54.0,2700.0
0.35, IF, G, VERY GOOD,4.6,5.829705882352942,2.85,62.0,57.0,1400.0
0.55, VVS2, J, IDEAL,5.4,5.829705882352942,3.35,62.3,56.0,2600.0
1.05, VVS1, F, PREMIUM,6.7,6.69,4.13,62.31654135338345,58.0,9500.0
0.75, SI2, G, GOOD,5.7,5.71,3.6946710526315782,62.5,57.0,3800.0
0.65, SI1, COLORLESS, VERY GOOD,5.6,5.58,3.48,62.6,56.91017964071856,3300.0
1.4, VVS2, H, GOOD,7.1,5.829705882352942,4.39,62.7,59.0,11200.0
0.5, VVS1, E, PREMIUM,5.2,5.22,3.6946710526315782,62.31654135338345,58.0,2900.0
1.3, SI2, F, GOOD,6.9,5.829705882352942,4.26,62.3,57.0,9900.0
0.7989999999999999, VVS2, D, GOOD,6.8,6.81,4.21,62.31654135338345,59.0,8100.0
0.4, SI1, J, VERY GOOD,4.8,4.78,2.96,62.2,56.91017964071856,1400.0
1.15, IF, G, IDEAL,6.5,5.829705882352942,4.02,62.0,58.0,9800.0
0.7989999999999999, I1, H, GOOD,5.9,5.88,3.63,62.4,56.91017964071856,2100.0
0.55, SI2, I, FAIR,5.3,5.829705882352942,3.29,62.1,54.0,1700.0
0.6, VVS2, D, PREMIUM,5.6,5.58,3.48,62.31654135338345,57.0,3700.0
0.7989999999999999, SI1, F, VERY GOOD,6.1,6.12,3.6946710526315782,62.1,59.0,5000.0
0.75, VVS1, H, GOOD,5.8,5.81,3.6946710526315782,62.3,56.0,4600.0
0.7989999999999999, SI2, E, FAIR,5.9,5.829705882352942,3.64,62.2,54.0,2500.0
1.05, IF, I, PREMIUM,6.6,6.59,4.09,62.31654135338345,58.0,9600.0
0.55, I1, G, VERY GOOD,5.3,5.829705882352942,3.28,62.4,57.0,2300.0
0.7989999999999999, VVS1, H, IDEAL,6.8,6.79,4.21,62.2,56.91017964071856,7900.0
0.7, SI2, D, GOOD,5.7,5.69,3.53,62.5,56.91017964071856,4000.0
0.9, SI1, COLORLESS, PREMIUM,6.2,6.22,3.6946710526315782,62.3,59.0,6600.0
0.5, VVS2, F, GOOD,5.2,5.829705882352942,3.22,62.6,58.0,3100.0
0.45, I1, I, FAIR,4.8,4.81,2.98,62.31654135338345,54.0,1100.0
1.2, VVS1, E, PREMIUM,6.8,5.829705882352942,4.2,62.7,58.0,10200.0
0.65, SI2, G, GOOD,5.6,5.59,3.47,62.31654135338345,57.0,3500.0
0.55, VVS2, D, VERY GOOD,5.4,5.829705882352942,3.34,62.4,56.0,2800.0
1.3, SI1, H, IDEAL,6.9,6.92,3.6946710526315782,62.8,59.0,9900.0
0.75, IF, F, GOOD,5.9,5.829705882352942,3.65,62.5,57.0,4700.0
