carat;clarity;color;cut;xdimension;ydimension;zdimension;depth;table;price
0.5; IF; D; IDEAL;5.1;5.15;3.2;61.5;;3000.0
0.7; VVS2; E; PREMIUM;5.7;;3.52;62.0;59.0;4500.0
; SI2; H; GOOD;4.3;4.31;;62.3;56.0;700.0
1.2; IF; D; IDEAL;;6.82;4.2;61.7;58.0;10000.0
0.9; I1; J; FAIR;6.0;;3.7;61.7;;2400.0
; SI1; G; VERY GOOD;5.9;5.92;3.63;;57.0;4200.0
0.5; IF; D; IDEAL;5.1;;3.2;61.5;57.0;3100.0
0.4; VVS1; F; GOOD;4.8;4.79;2.95;;;1500.0
; SI2; I; GOOD;4.3;4.32;;62.3;;
1.0; VVS1; F; IDEAL;6.4;;4.0;;58.0;7500.0
0.5; SI1; COLORLESS; PREMIUM;;5.21;3.21;61.6;58.0;
0.4; VVS2; G; VERY GOOD;4.9;4.88;;61.2;56.0;1400.0
; SI2; J; FAIR;5.7;5.71;3.54;;54.0;2000.0
1.1; VVS1; E; PREMIUM;6.6;;4.08;;57.0;9200.0
0.55; SI2; H; GOOD;5.3;5.29;;62.0;;1800.0
; VVS2; I; GOOD;4.4;4.39;2.69;61.3;57.0;
0.5; SI1; G; VERY GOOD;5.2;;3.2;;56.0;2300.0
1.0; IF; D; IDEAL;6.5;6.49;;61.7;58.0;
0.6; SI2; H; GOOD;5.5;5.52;;;57.0;2200.0
0.7; I1; J; FAIR;;5.79;3.57;61.6;;2100.0
; VVS1; F; IDEAL;6.1;6.15;3.9;61.8;57.0;6000.0
1.3; SI1; G; PREMIUM;6.9;;4.3;63.0;60.0;10500.0
1.4; IF; D; GOOD;7.1;7.12;;62.4;59.0;11000.0
; VVS2; E; GOOD;4.6;4.58;2.85;;56.0;800.0
1.6; I1; I; FAIR;7.3;7.28;4.5;;54.0;3400.0
0.2; SI1; H; VERY GOOD;3.9;3.89;2.41;62.1;;500.0
0.35; IF; G; IDEAL;4.5;4.52;;61.9;56.0;1300.0
; VVS2; G; GOOD;4.6;;2.83;62.2;57.0;1600.0
0.55; I1; J; PREMIUM;5.4;5.42;3.35;62.1;;2500.0
; VVS1; D; IDEAL;6.7;6.71;4.15;;58.0;7700.0
0.65; SI2; COLORLESS; VERY GOOD;5.6;;3.47;62.3;58.0;2900.0
1.5; VVS2; F; GOOD;7.2;7.18;;62.7;59.0;10800.0
0.9; SI2; H; FAIR;6.1;6.12;3.78;62.4;;2600.0
; VVS1; E; PREMIUM;6.9;;4.27;62.2;57.0;9300.0
0.45; SI2; I; GOOD;4.9;4.91;;62.1;56.0;1700.0
0.6; VVS2; G; GOOD;5.5;5.49;;;58.0;2800.0
; SI1; F; VERY GOOD;5.3;5.31;3.3;62.0;57.0;2700.0
0.95; IF; D; IDEAL;6.3;;3.9;62.6;58.0;9400.0
1.05; SI2; J; GOOD;6.6;6.58;;62.7;;8500.0
; I1; G; FAIR;5.9;;3.65;61.9;55.0;2200.0
0.45; SI2; H; IDEAL;4.8;4.82;3.01;62.1;56.0;1500.0
; IF; F; PREMIUM;6.2;;3.84;61.9;58.0;5900.0
0.85; VVS1; I; GOOD;5.8;5.82;;62.2;55.0;4800.0
0.95; VVS2; D; GOOD;6.3;6.31;3.91;62.4;;7300.0
; SI1; E; FAIR;6.0;6.01;;;54.0;2700.0
0.35; IF; G; VERY GOOD;4.6;;2.85;62.0;57.0;1400.0
0.55; VVS2; J; IDEAL;5.4;;3.35;62.3;56.0;2600.0
; I1; D; GOOD;4.8;4.79;2.96;61.8;;1200.0
1.05; VVS1; F; PREMIUM;6.7;6.69;4.13;;58.0;9500.0
0.75; SI2; G; GOOD;5.7;5.71;;62.5;57.0;3800.0
0.65; SI1; COLORLESS; VERY GOOD;5.6;5.58;3.48;62.6;;3300.0
1.4; VVS2; H; GOOD;7.1;;4.39;62.7;59.0;11200.0
0.3; I1; I; FAIR;4.4;4.41;;62.1;55.0;600.0
